0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,17.0,27.0,8.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,16.0,98.0,144.0,24.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,41.0,344.0,629.0,114.0,31.0,4.0,0.0,0.0
0.0,0.0,0.0,24.0,589.0,1640.0,439.0,83.0,12.0,1.0,0.0
0.0,0.0,0.0,5.0,275.0,2503.0,1248.0,379.0,64.0,2.0,0.0
0.0,0.0,0.0,2.0,82.0,1508.0,1804.0,1165.0,265.0,16.0,0.0
0.0,0.0,0.0,0.0,10.0,498.0,1075.0,1883.0,1018.0,43.0,0.0
0.0,0.0,0.0,1.0,6.0,136.0,388.0,1056.0,2537.0,351.0,0.0
0.0,0.0,0.0,0.0,1.0,17.0,68.0,204.0,1044.0,769.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,15.0,45.0,203.0,188.0,1.0
